raw_name,raw_prefix,model,category,provider,prompt_type,temperature,fine_tuned,distribution,size,vectorizer,f1_macro,precision,recall,accuracy,fleiss_kappa,mean_cohen_kappa,consistency_all_runs
tfidf__real__2000__SVM_pred,,SVM,ML,,,,,real,2000.0,tfidf,0.8491620111731844,0.8315098468271335,0.867579908675799,0.865,,,
tfidf__real__2000__XGBoost_pred,,XGBoost,ML,,,,,real,2000.0,tfidf,0.8344370860927153,0.8076923076923077,0.863013698630137,0.85,,,
tfidf__real__250__RandomForest_pred,,RandomForest,ML,,,,,real,250.0,tfidf,0.733615221987315,0.6830708661417323,0.7922374429223744,0.748,,,
tfidf__real__250__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,250.0,tfidf,0.8082788671023965,0.7729166666666667,0.8470319634703196,0.824,,,
tfidf__real__250__KNeighbors_pred,,KNeighbors,ML,,,,,real,250.0,tfidf,0.6733668341708543,0.7486033519553073,0.6118721461187214,0.74,,,
tfidf__real__250__NaiveBayes_pred,,NaiveBayes,ML,,,,,real,250.0,tfidf,0.764018691588785,0.7822966507177034,0.7465753424657534,0.798,,,
tfidf__real__250__SVM_pred,,SVM,ML,,,,,real,250.0,tfidf,0.7925356750823271,0.7632135306553911,0.8242009132420092,0.811,,,
tfidf__real__250__XGBoost_pred,,XGBoost,ML,,,,,real,250.0,tfidf,0.7754237288135594,0.7233201581027668,0.8356164383561644,0.788,,,
tfidf__real__500__RandomForest_pred,,RandomForest,ML,,,,,real,500.0,tfidf,0.7619047619047619,0.7754137115839244,0.7488584474885844,0.795,,,
tfidf__real__500__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,500.0,tfidf,0.8231441048034934,0.7887029288702929,0.860730593607306,0.838,,,
tfidf__real__500__KNeighbors_pred,,KNeighbors,ML,,,,,real,500.0,tfidf,0.7060301507537688,0.7849162011173184,0.6415525114155252,0.766,,,
tfidf__real__500__NaiveBayes_pred,,NaiveBayes,ML,,,,,real,500.0,tfidf,0.814317673378076,0.7982456140350878,0.8310502283105022,0.834,,,
tfidf__real__500__SVM_pred,,SVM,ML,,,,,real,500.0,tfidf,0.809575625680087,0.7733887733887734,0.8493150684931506,0.825,,,
tfidf__real__500__XGBoost_pred,,XGBoost,ML,,,,,real,500.0,tfidf,0.8,0.7711864406779662,0.8310502283105022,0.818,,,
6B-100d_real_100__RandomForest_pred,,RandomForest,ML,,,,,real,100.0,6B-100d,0.7488328664799253,0.6334913112164297,0.9155251141552512,0.731,,,
6B-100d_real_100__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,100.0,6B-100d,0.7474541751527495,0.6746323529411765,0.8378995433789954,0.752,,,
6B-100d_real_100__KNeighbors_pred,,KNeighbors,ML,,,,,real,100.0,6B-100d,0.7287093942054433,0.5920114122681883,0.9474885844748858,0.691,,,
6B-100d_real_100__SVM_pred,,SVM,ML,,,,,real,100.0,6B-100d,0.7471852610030706,0.6771799628942486,0.8333333333333334,0.753,,,
6B-100d_real_100__XGBoost_pred,,XGBoost,ML,,,,,real,100.0,6B-100d,0.7487386478304743,0.6708860759493671,0.8470319634703196,0.751,,,
6B-100d_real_250__RandomForest_pred,,RandomForest,ML,,,,,real,250.0,6B-100d,0.6971544715447154,0.6282051282051282,0.7831050228310502,0.702,,,
6B-100d_real_250__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,250.0,6B-100d,0.7590486039296794,0.6937618147448015,0.8378995433789954,0.767,,,
6B-100d_real_250__KNeighbors_pred,,KNeighbors,ML,,,,,real,250.0,6B-100d,0.7648221343873518,0.6742160278745645,0.8835616438356164,0.762,,,
6B-100d_real_250__SVM_pred,,SVM,ML,,,,,real,250.0,6B-100d,0.7626774847870182,0.6861313868613139,0.8584474885844748,0.766,,,
